"day","stamp","host","download","upload","ping","timestamp","bytes_sent","bytes_received","share"
"2020-08-17","2020-08-17 01:25:01","bell.ts.imetrical.com",91442460.9659341,3308685.7944027004,18.38,"2020-08-17T05:25:03.655618Z",5242880,114896036,
"2020-08-17","2020-08-17 01:30:01","bell.ts.imetrical.com",91060450.60359068,3312437.203459821,19.619,"2020-08-17T05:30:03.432945Z",5242880,115026202,
"2020-08-17","2020-08-17 01:35:01","bell.ts.imetrical.com",90240468.33807501,3321180.073337846,20.363,"2020-08-17T05:35:03.203442Z",5242880,114967716,
"2020-08-17","2020-08-17 01:40:02","bell.ts.imetrical.com",91825244.0865999,3329487.8268509246,21.667,"2020-08-17T05:40:04.116110Z",5242880,115118362,
"2020-08-17","2020-08-17 01:45:01","bell.ts.imetrical.com",90393901.90802716,3258127.574146823,19.315,"2020-08-17T05:45:03.811903Z",5242880,114609316,
"2020-08-17","2020-08-17 01:50:01","bell.ts.imetrical.com",91600551.64874053,3317429.1700658128,21.157,"2020-08-17T05:50:03.980726Z",5242880,115046682,
"2020-08-17","2020-08-17 01:55:01","bell.ts.imetrical.com",90083508.65450574,3314161.296860596,19.9,"2020-08-17T05:55:03.867563Z",5242880,114698522,
"2020-08-17","2020-08-17 02:00:01","bell.ts.imetrical.com",91235710.51524734,3282119.0274806744,22.639,"2020-08-17T06:00:03.920253Z",5242880,115200282,
"2020-08-17","2020-08-17 02:05:01","bell.ts.imetrical.com",90058371.5592306,3308453.6288008103,20.708,"2020-08-17T06:05:03.976797Z",5242880,114834596,
"2020-08-17","2020-08-17 02:10:01","bell.ts.imetrical.com",90878530.41198964,3302995.569898569,20.17,"2020-08-17T06:10:04.110387Z",5242880,114896036,
"2020-08-17","2020-08-17 02:15:01","bell.ts.imetrical.com",90535800.1559958,3216761.869925774,18.498,"2020-08-17T06:15:04.010155Z",5242880,115046682,
"2020-08-17","2020-08-17 02:20:01","bell.ts.imetrical.com",91457747.64341955,3313572.730100863,20.389,"2020-08-17T06:20:03.135472Z",5242880,115131556,
"2020-08-17","2020-08-17 02:25:01","bell.ts.imetrical.com",90717391.43602702,3306123.909323825,18.471,"2020-08-17T06:25:04.109253Z",5242880,115108122,
"2020-08-17","2020-08-17 02:30:01","bell.ts.imetrical.com",90298290.52682604,3329692.0063828435,22.158,"2020-08-17T06:30:04.195097Z",5242880,113697956,
"2020-08-17","2020-08-17 02:35:01","bell.ts.imetrical.com",91496694.90166399,3324962.321060751,23.033,"2020-08-17T06:35:04.064079Z",5242880,116677796,
"2020-08-17","2020-08-17 02:40:01","bell.ts.imetrical.com",91664295.66977744,3201006.363510089,17.405,"2020-08-17T06:40:04.173296Z",5242880,115244196,
"2020-08-17","2020-08-17 02:45:01","bell.ts.imetrical.com",89975508.1775985,3287713.125014056,18.337,"2020-08-17T06:45:03.518941Z",5242880,114360602,
"2020-08-17","2020-08-17 02:50:01","bell.ts.imetrical.com",90863292.63317682,3232762.455922276,20.919,"2020-08-17T06:50:03.811190Z",5242880,115391888,
"2020-08-17","2020-08-17 02:55:01","bell.ts.imetrical.com",90222816.75137603,3323004.5790564804,18.332,"2020-08-17T06:55:04.308189Z",5242880,114670756,
"2020-08-17","2020-08-17 03:00:01","bell.ts.imetrical.com",90848893.24038197,3309158.2878785306,17.343,"2020-08-17T07:00:04.362487Z",5242880,114982288,
"2020-08-17","2020-08-17 03:05:01","bell.ts.imetrical.com",91248798.83723462,3316756.870517264,19.818,"2020-08-17T07:05:03.075539Z",5242880,114920848,
"2020-08-17","2020-08-17 03:10:01","bell.ts.imetrical.com",90663313.48905551,3291919.187136557,18.287,"2020-08-17T07:10:04.365967Z",5242880,115302682,
"2020-08-17","2020-08-17 03:15:01","bell.ts.imetrical.com",90821306.3953509,3270530.552624435,20.756,"2020-08-17T07:15:03.109796Z",5242880,114931088,
"2020-08-17","2020-08-17 03:20:01","bell.ts.imetrical.com",90805871.57967722,3306550.4317682623,20.633,"2020-08-17T07:20:03.625307Z",5242880,114729242,
"2020-08-17","2020-08-17 03:25:01","bell.ts.imetrical.com",90538720.24267326,3320306.3670575926,18.188,"2020-08-17T07:25:03.980212Z",5242880,114363556,
"2020-08-17","2020-08-17 03:30:01","bell.ts.imetrical.com",91803561.0536911,3301352.0172233772,17.796,"2020-08-17T07:30:04.082183Z",5242880,115108122,
"2020-08-17","2020-08-17 03:35:01","bell.ts.imetrical.com",90795809.14916857,3309615.1428674166,19.514,"2020-08-17T07:35:04.059550Z",5242880,115074448,
"2020-08-17","2020-08-17 03:40:01","bell.ts.imetrical.com",90244607.46764301,3312003.9905947177,21.591,"2020-08-17T07:40:04.330290Z",5242880,114015396,
"2020-08-17","2020-08-17 03:45:02","bell.ts.imetrical.com",89932931.94344501,3302367.96971509,19.655,"2020-08-17T07:45:04.418357Z",5242880,114363556,
"2020-08-17","2020-08-17 03:50:01","bell.ts.imetrical.com",89832570.51181874,3315972.3015038264,21.692,"2020-08-17T07:50:03.220029Z",5242880,114394276,
"2020-08-17","2020-08-17 03:55:02","bell.ts.imetrical.com",90715567.5404548,3318103.9980937485,17.42,"2020-08-17T07:55:04.607265Z",5242880,115026202,
"2020-08-17","2020-08-17 04:00:01","bell.ts.imetrical.com",91417164.95722646,3307282.1647405317,20.344,"2020-08-17T08:00:03.218098Z",5242880,114834596,
"2020-08-17","2020-08-17 04:05:02","bell.ts.imetrical.com",91675838.40583202,3286973.4774570665,20.957,"2020-08-17T08:05:04.542169Z",5242880,115015962,
"2020-08-17","2020-08-17 04:10:01","bell.ts.imetrical.com",90231000.16508858,3312559.4391275565,21.474,"2020-08-17T08:10:03.117143Z",5242880,114578596,
"2020-08-17","2020-08-17 04:15:01","bell.ts.imetrical.com",89594557.94569243,3284531.5578835723,20.487,"2020-08-17T08:15:04.394190Z",5242880,114363556,
"2020-08-17","2020-08-17 04:20:01","bell.ts.imetrical.com",91767456.17276596,3314939.6991860145,18.958,"2020-08-17T08:20:03.326880Z",5242880,115159322,
"2020-08-17","2020-08-17 04:25:02","bell.ts.imetrical.com",91379865.69622837,3314075.9097404797,22.299,"2020-08-17T08:25:04.569334Z",5242880,114944282,
"2020-08-17","2020-08-17 04:30:01","bell.ts.imetrical.com",91669443.11789256,3288873.2772795064,23.057,"2020-08-17T08:30:03.236100Z",5242880,115005722,
"2020-08-17","2020-08-17 04:35:02","bell.ts.imetrical.com",89824951.72760886,3305423.4504599445,20.251,"2020-08-17T08:35:04.619080Z",5242880,113728676,
"2020-08-17","2020-08-17 04:40:01","bell.ts.imetrical.com",91379097.8445873,3291844.6243905346,20.362,"2020-08-17T08:40:03.438659Z",5242880,114803876,
"2020-08-17","2020-08-17 04:45:01","bell.ts.imetrical.com",90162404.38867071,3325804.9465294043,20.471,"2020-08-17T08:45:03.582613Z",5242880,114585882,
"2020-08-17","2020-08-17 04:50:01","bell.ts.imetrical.com",91583645.24029376,3283305.863900686,21.833,"2020-08-17T08:50:03.656301Z",5242880,115046682,
"2020-08-17","2020-08-17 04:55:01","bell.ts.imetrical.com",90502298.27830349,3311945.2851735484,20.054,"2020-08-17T08:55:03.831248Z",5242880,115059876,
"2020-08-17","2020-08-17 05:00:01","bell.ts.imetrical.com",91919701.9711072,3307329.0454181046,20.696,"2020-08-17T09:00:03.970702Z",5242880,115233956,
"2020-08-17","2020-08-17 05:05:01","bell.ts.imetrical.com",91452273.61810555,3302971.519317188,22.495,"2020-08-17T09:05:04.036828Z",5242880,114762916,
"2020-08-17","2020-08-17 05:10:01","bell.ts.imetrical.com",89919955.50147957,3311056.1875745854,22.416,"2020-08-17T09:10:04.249093Z",5242880,114824356,
