"day","stamp","host","destination","packet_transmit","packet_receive","packet_loss_count","packet_loss_rate"
"2020-08-17","2020-08-17 02:30:00","piaget.lan","google.com",300,297,3,1
"2020-08-17","2020-08-17 02:30:00","piaget.lan","speedtestslnt.rogers.com",300,295,5,1.6666666666666667
"2020-08-17","2020-08-17 02:35:00","piaget.lan","speedtestslnt.rogers.com",299,294,5,1.6722408026755853
"2020-08-17","2020-08-17 02:35:00","piaget.lan","google.com",299,294,5,1.6722408026755853
"2020-08-17","2020-08-17 02:40:01","piaget.lan","google.com",300,300,0,0
"2020-08-17","2020-08-17 02:40:01","piaget.lan","speedtestslnt.rogers.com",300,300,0,0
"2020-08-17","2020-08-17 02:45:00","piaget.lan","speedtestslnt.rogers.com",300,300,0,0
"2020-08-17","2020-08-17 02:45:00","piaget.lan","google.com",300,299,1,0.33333333333333337
"2020-08-17","2020-08-17 02:50:00","piaget.lan","google.com",300,299,1,0.33333333333333337
"2020-08-17","2020-08-17 02:50:00","piaget.lan","speedtestslnt.rogers.com",300,299,1,0.33333333333333337
"2020-08-17","2020-08-17 02:55:01","piaget.lan","speedtestslnt.rogers.com",300,300,0,0
"2020-08-17","2020-08-17 02:55:01","piaget.lan","google.com",300,299,1,0.33333333333333337
"2020-08-17","2020-08-17 03:00:00","piaget.lan","google.com",299,299,0,0
"2020-08-17","2020-08-17 03:00:00","piaget.lan","speedtestslnt.rogers.com",299,299,0,0
"2020-08-17","2020-08-17 03:05:00","piaget.lan","speedtestslnt.rogers.com",299,298,1,0.33444816053511706
"2020-08-17","2020-08-17 03:05:00","piaget.lan","google.com",299,298,1,0.33444816053511706
"2020-08-17","2020-08-17 03:10:00","piaget.lan","google.com",299,299,0,0
"2020-08-17","2020-08-17 03:10:00","piaget.lan","speedtestslnt.rogers.com",299,299,0,0
"2020-08-17","2020-08-17 03:15:00","piaget.lan","speedtestslnt.rogers.com",300,300,0,0
"2020-08-17","2020-08-17 03:15:00","piaget.lan","google.com",300,299,1,0.33333333333333337
"2020-08-17","2020-08-17 03:20:00","piaget.lan","google.com",300,299,1,0.33333333333333337
"2020-08-17","2020-08-17 03:20:00","piaget.lan","speedtestslnt.rogers.com",300,298,2,0.6666666666666667
"2020-08-17","2020-08-17 03:25:00","piaget.lan","google.com",300,300,0,0
"2020-08-17","2020-08-17 03:25:00","piaget.lan","speedtestslnt.rogers.com",300,300,0,0
"2020-08-17","2020-08-17 03:30:00","piaget.lan","google.com",299,298,1,0.33444816053511706
"2020-08-17","2020-08-17 03:30:00","piaget.lan","speedtestslnt.rogers.com",299,297,2,0.6688963210702341
"2020-08-17","2020-08-17 03:35:00","piaget.lan","google.com",300,300,0,0
"2020-08-17","2020-08-17 03:35:00","piaget.lan","speedtestslnt.rogers.com",300,299,1,0.33333333333333337
"2020-08-17","2020-08-17 03:40:01","piaget.lan","google.com",299,298,1,0.33444816053511706
"2020-08-17","2020-08-17 03:40:01","piaget.lan","speedtestslnt.rogers.com",299,298,1,0.33444816053511706
