"day","stamp","host","bytes_sent","download","timestamp","share","bytes_received","ping","upload"
"2020-08-17","2020-08-17 02:30:00","piaget.lan",28704768,131325550.67966124,"2020-08-17T06:30:01.033705Z",,166322694,26.793,22511497.58934622
"2020-08-17","2020-08-17 02:35:00","piaget.lan",25845760,131888800.21251844,"2020-08-17T06:35:01.114219Z",,165417242,27.826,20168632.833825674
"2020-08-17","2020-08-17 02:40:01","piaget.lan",28770304,69811787.5402844,"2020-08-17T06:40:01.502773Z",,87514276,25.556,22860975.881787755
"2020-08-17","2020-08-17 02:45:00","piaget.lan",26468352,69122345.43497105,"2020-08-17T06:45:00.776526Z",,86776996,25.765,20801530.967617713
"2020-08-17","2020-08-17 02:50:00","piaget.lan",28491776,73237164.04191768,"2020-08-17T06:50:01.147779Z",,91784356,24.658,22448590.167342335
"2020-08-17","2020-08-17 02:55:01","piaget.lan",28786688,131777332.45104758,"2020-08-17T06:55:01.568389Z",,165049196,23.503,22398137.180504568
"2020-08-17","2020-08-17 03:00:00","piaget.lan",29245440,70054325.86329705,"2020-08-17T07:00:00.980696Z",,87770276,27.84,22696631.056854
"2020-08-17","2020-08-17 03:05:00","piaget.lan",24698880,133244403.87653846,"2020-08-17T07:05:00.753053Z",,166788618,27.901,18428063.3409611
"2020-08-17","2020-08-17 03:10:00","piaget.lan",28827648,63127746.90757403,"2020-08-17T07:10:01.499248Z",,79186696,26.296,22522057.76496517
"2020-08-17","2020-08-17 03:15:00","piaget.lan",29237248,73337151.0891527,"2020-08-17T07:15:00.975500Z",,91917476,25.785,22524217.958369378
"2020-08-17","2020-08-17 03:20:00","piaget.lan",29081600,130713380.83590117,"2020-08-17T07:20:01.299473Z",,163697516,27.15,22220954.921265878
"2020-08-17","2020-08-17 03:25:00","piaget.lan",26894336,71266380.64184894,"2020-08-17T07:25:00.857733Z",,89316516,25.921,21293315.505468443
"2020-08-17","2020-08-17 03:30:00","piaget.lan",28598272,131617123.54299074,"2020-08-17T07:30:01.012774Z",,164875900,26.083,21707427.861992158
"2020-08-17","2020-08-17 03:35:00","piaget.lan",28508160,131698479.94924861,"2020-08-17T07:35:01.034641Z",,165421574,26.986,22258612.060672887
"2020-08-17","2020-08-17 03:40:01","piaget.lan",28827648,74900467.48157755,"2020-08-17T07:40:01.636513Z",,93832356,25.334,22775099.638559483
"2020-08-17","2020-08-17 03:45:00","piaget.lan",28065792,131187838.24378733,"2020-08-17T07:45:01.012262Z",,164488950,22.946,21654303.890920985
"2020-08-17","2020-08-17 03:50:00","piaget.lan",29147136,72235304.55328438,"2020-08-17T07:50:01.462708Z",,90616996,26.763,22503756.9033546
"2020-08-17","2020-08-17 03:55:00","piaget.lan",24772608,130310549.4098054,"2020-08-17T07:55:01.002452Z",,163268220,24.912,19300327.974973846
"2020-08-17","2020-08-17 04:00:00","piaget.lan",28172288,129708060.4401767,"2020-08-17T08:00:01.265011Z",,162623100,26.068,21526763.772736903
"2020-08-17","2020-08-17 04:05:00","piaget.lan",24109056,128846473.61571264,"2020-08-17T08:05:00.915672Z",,162193020,24.941,19207445.799374014
"2020-08-17","2020-08-17 04:10:00","piaget.lan",27312128,132671420.27115047,"2020-08-17T08:10:01.029822Z",,166391420,26.976,21609621.65412997
"2020-08-17","2020-08-17 04:15:01","piaget.lan",29024256,64318528.911810026,"2020-08-17T08:15:01.523259Z",,80658796,27.736,22257692.243144017
"2020-08-17","2020-08-17 04:20:00","piaget.lan",28688384,132541811.88600448,"2020-08-17T08:20:01.041982Z",,166120848,26.135,22559216.977603786
"2020-08-17","2020-08-17 04:25:00","piaget.lan",28262400,132104250.08215922,"2020-08-17T08:25:01.207471Z",,166350460,27.429,22283017.191962145
"2020-08-17","2020-08-17 04:30:00","piaget.lan",28778496,131165108.37945108,"2020-08-17T08:30:00.960728Z",,165377660,27.579,22671003.887912076
"2020-08-17","2020-08-17 04:35:00","piaget.lan",28819456,133134943.1217638,"2020-08-17T08:35:01.116027Z",,167067260,25.062,22470686.75305991
"2020-08-17","2020-08-17 04:40:00","piaget.lan",23961600,128154853.92374277,"2020-08-17T08:40:00.964359Z",,165500540,24.613,19061405.445622873
"2020-08-17","2020-08-17 04:45:00","piaget.lan",24903680,132688574.37115946,"2020-08-17T08:45:01.341869Z",,166340220,27.697,19787536.10839672
"2020-08-17","2020-08-17 04:50:00","piaget.lan",28598272,74191646.88040781,"2020-08-17T08:50:00.661826Z",,92961956,25.018,22797443.06111571
"2020-08-17","2020-08-17 04:55:00","piaget.lan",29261824,69374500.97431724,"2020-08-17T08:55:00.871215Z",,87002276,24.457,23071528.165452275
"2020-08-17","2020-08-17 05:00:00","piaget.lan",29081600,68066771.69526534,"2020-08-17T09:00:01.054925Z",,85281956,26.524,22731767.661499675
"2020-08-17","2020-08-17 05:05:00","piaget.lan",28712960,68607061.94775243,"2020-08-17T09:05:01.330259Z",,85968036,23.939,22404816.652340207
"2020-08-17","2020-08-17 05:10:00","piaget.lan",23470080,71198761.96347836,"2020-08-17T09:10:00.647658Z",,89265316,26.886,18532974.422361795
"2020-08-17","2020-08-17 05:15:00","piaget.lan",29286400,126388396.11903885,"2020-08-17T09:15:00.978068Z",,166691334,24.092,22371030.420626953
"2020-08-17","2020-08-17 05:20:00","piaget.lan",28344320,130493016.39305666,"2020-08-17T09:20:01.067116Z",,163464950,26.392,22275129.661276072
"2020-08-17","2020-08-17 05:25:01","piaget.lan",28860416,131169786.17326145,"2020-08-17T09:25:01.697365Z",,164602374,27.167,22544397.523709502
"2020-08-17","2020-08-17 05:30:00","piaget.lan",28049408,132371421.0521618,"2020-08-17T09:30:01.071930Z",,166002300,26.815,22227936.44597143
"2020-08-17","2020-08-17 05:35:00","piaget.lan",23617536,131451943.98514506,"2020-08-17T09:35:01.263039Z",,165193340,25.596,18760074.401783038
"2020-08-17","2020-08-17 05:40:00","piaget.lan",28770304,70088237.33777606,"2020-08-17T09:40:01.468011Z",,87903396,26.778,22676874.364215888
